Name,Total_Count,Dominant_Gender,Origin_Region
Gavin,157451,M,Anglo
Seth,157359,M,Anglo
Chelsea,156837,F,Anglo
Joann,156670,F,Anglo
Yvonne,155586,F,Anglo
Stella,155080,F,Anglo
Lillie,154998,F,Anglo
Floyd,154811,M,Anglo
Micheal,154470,M,Anglo
Rosemary,154219,F,Anglo
Lydia,153589,F,Anglo
Trevor,153545,M,Anglo
Jim,153520,M,Anglo
Vicki,153456,F,Anglo
Haley,152894,F,Anglo
Gordon,152885,M,Anglo
Gina,152208,F,Irish_Italian
Carmen,150900,F,Latin
Lewis,149995,M,Anglo
Johnnie,149953,M,Anglo
Erik,149531,M,Anglo
Nellie,149321,F,Anglo
Owen,149039,M,Anglo
Savannah,148878,F,Anglo
Kelsey,148799,F,Anglo
Edgar,148726,M,Anglo
Chase,148053,M,Anglo
Carla,147830,F,Irish_Italian
Georgia,147467,F,Anglo
Dominic,147330,M,Anglo
Amelia,147074,F,Anglo
Vernon,147069,M,Anglo
Terri,146649,F,Anglo
Naomi,145586,F,Anglo
Hailey,145227,F,Anglo
Clyde,145134,M,Anglo
Sue,144943,F,Anglo
Maureen,144194,F,Irish_Italian
Arlene,141917,F,Anglo
Jenna,141692,F,Anglo
Mario,141494,M,Latin
Marian,141034,F,Anglo
Destiny,140690,F,Anglo
Derrick,140553,M,Anglo
Wilma,140392,F,Anglo
Heidi,140053,F,Anglo
Tom,139607,M,Anglo
Constance,138957,F,Anglo
Max,138666,M,Anglo
Brent,138584,M,Anglo
Marc,138455,M,Anglo
Avery,138423,F,Anglo
Liam,137414,M,Irish_Italian
Myrtle,136933,F,Anglo
Herman,136030,M,Anglo
Vera,135951,F,Anglo
Ricardo,135718,M,Latin
Maurice,135468,M,Anglo
Daisy,135454,F,Anglo
Melinda,134921,F,Anglo
Kristina,134790,F,Anglo
Jimmie,134591,M,Anglo
Joy,134210,F,Anglo
Lena,134010,F,Anglo
Franklin,133975,M,Anglo
Sabrina,133823,F,Anglo
Lindsay,133666,F,Anglo
Paige,133312,F,Anglo
Deanna,133310,F,Anglo
Marcia,133161,F,Anglo
Gene,132974,M,Anglo
Mabel,132785,F,Anglo
Charlene,132768,F,Anglo
Billie,132585,F,Anglo
Landon,131092,M,Anglo
Mattie,131001,F,Anglo
Cory,130974,M,Anglo
Viola,130959,F,Anglo
Lester,130842,M,Anglo
Tamara,130278,F,Anglo
Elmer,129482,M,Anglo
Francisco,129424,M,Latin
Gabrielle,129389,F,Anglo
Marlene,129012,F,Anglo
Gilbert,128869,M,Anglo
